PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	PG.ProteinNames	[1] HF230712_RN_GBM_MVs_normalBC8_3_5.htrms.PG.Quantity	[2] HF230712_RN_GBM_MVs_normalBC9_3_5.htrms.PG.Quantity	[3] HF230712_RN_GBM_MVs_normalBC10_3_5.htrms.PG.Quantity	[4] HF230712_RN_GBM_MVs_normalBC11_3_5.htrms.PG.Quantity	[5] HF230712_RN_GBM_MVs_normalBC12_3_5.htrms.PG.Quantity	[6] HF230712_RN_GBM_MVs_tumorH7_3_5.htrms.PG.Quantity	[7] HF230712_RN_GBM_MVs_tumorH8_3_5.htrms.PG.Quantity	[8] HF230712_RN_GBM_MVs_tumorH9_3_5.htrms.PG.Quantity	[9] HF230712_RN_GBM_MVs_tumorH10_3_5.htrms.PG.Quantity	[10] HF230712_RN_GBM_MVs_tumorH12_3_5.htrms.PG.Quantity	[1] HF230712_RN_GBM_MVs_normalBC8_3_5.htrms.PG.MS1Quantity	[2] HF230712_RN_GBM_MVs_normalBC9_3_5.htrms.PG.MS1Quantity	[3] HF230712_RN_GBM_MVs_normalBC10_3_5.htrms.PG.MS1Quantity	[4] HF230712_RN_GBM_MVs_normalBC11_3_5.htrms.PG.MS1Quantity	[5] HF230712_RN_GBM_MVs_normalBC12_3_5.htrms.PG.MS1Quantity	[6] HF230712_RN_GBM_MVs_tumorH7_3_5.htrms.PG.MS1Quantity	[7] HF230712_RN_GBM_MVs_tumorH8_3_5.htrms.PG.MS1Quantity	[8] HF230712_RN_GBM_MVs_tumorH9_3_5.htrms.PG.MS1Quantity	[9] HF230712_RN_GBM_MVs_tumorH10_3_5.htrms.PG.MS1Quantity	[10] HF230712_RN_GBM_MVs_tumorH12_3_5.htrms.PG.MS1Quantity	[1] HF230712_RN_GBM_MVs_normalBC8_3_5.htrms.PG.MS2Quantity	[2] HF230712_RN_GBM_MVs_normalBC9_3_5.htrms.PG.MS2Quantity	[3] HF230712_RN_GBM_MVs_normalBC10_3_5.htrms.PG.MS2Quantity	[4] HF230712_RN_GBM_MVs_normalBC11_3_5.htrms.PG.MS2Quantity	[5] HF230712_RN_GBM_MVs_normalBC12_3_5.htrms.PG.MS2Quantity	[6] HF230712_RN_GBM_MVs_tumorH7_3_5.htrms.PG.MS2Quantity	[7] HF230712_RN_GBM_MVs_tumorH8_3_5.htrms.PG.MS2Quantity	[8] HF230712_RN_GBM_MVs_tumorH9_3_5.htrms.PG.MS2Quantity	[9] HF230712_RN_GBM_MVs_tumorH10_3_5.htrms.PG.MS2Quantity	[10] HF230712_RN_GBM_MVs_tumorH12_3_5.htrms.PG.MS2Quantity
A0A024QZX5;A0A087X1N8;A0A2R8YD12;P35237	SERPINB6	Serpin B6	A0A024QZX5;A0A087X1N8;A0A2R8YD12;P35237	A0A024QZX5_HUMAN;A0A087X1N8_HUMAN;A0A2R8YD12_HUMAN;SPB6_HUMAN	181759.609375	176093.890625	185689.078125	102348.5234375	112480.28125	55321.04296875	48811.125	39190.60546875	29451.431640625	52169.4296875	181759.609375	176093.890625	185689.078125	102348.5234375	112480.28125	55321.04296875	48811.125	39190.60546875	29451.431640625	52169.4296875	34457.88671875	25132.244140625	28077.138671875	24060.984375	21966.625	8394.265625	9357.8955078125	11096.9140625	12087.2080078125	10734.876953125
A0A024R161;P50151	DNAJC25-GNG10;GNG10	Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	A0A024R161;P50151	A0A024R161_HUMAN;GBG10_HUMAN	37232.015625	161907.578125	151941.890625	115829.0703125	59729.51171875	89255.3359375	115923.1640625	57189.98828125	65308.87890625	72185.3359375	37232.015625	161907.578125	151941.890625	115829.0703125	59729.51171875	89255.3359375	115923.1640625	57189.98828125	65308.87890625	72185.3359375	43162.453125	142325.6875	141662.6875	85389.0625	48008.4765625	67333.0390625	80649.609375	61337.2578125	58369.04296875	59881.70703125
A0A024R571;Q9H4M9	EHD1	EH domain-containing protein 1	A0A024R571;Q9H4M9	A0A024R571_HUMAN;EHD1_HUMAN	896274.5	1450277.625	1330672.75	724501	637234.875	575988.5625	829126.875	625593.75	235228.0625	501842	896274.5	1450277.625	1330672.75	724501	637234.875	575988.5625	829126.875	625593.75	235228.0625	501842	278525.78125	427197.5625	397994.4375	240401.4375	207254.984375	184560.140625	258385.328125	204340.4375	80741.4609375	171344.359375
A0A024R6I7	SERPINA1	Alpha-1-antitrypsin	A0A024R6I7	A0A024R6I7_HUMAN	5907.185546875	7914.939453125	7457.67529296875	7605.93798828125	278039.09375	3777.80053710938	8708.6240234375	3384.11181640625	3354.53149414063	3326.72216796875	5907.185546875	7914.939453125	7457.67529296875	7605.93798828125	278039.09375	3777.80053710938	8708.6240234375	3384.11181640625	3354.53149414063	3326.72216796875	2241.73095703125	2861.50390625	2747.4296875	2795.04028320313	29546.560546875	1483.88977050781	2994.8564453125	1341.275390625	1302.49743652344	1293.06860351563
A0A024RA52;P25787	PSMA2	Proteasome subunit alpha type;Proteasome subunit alpha type-2	A0A024RA52;P25787	A0A024RA52_HUMAN;PSA2_HUMAN	181718.28125	152105.515625	126337.25	249932.71875	200107.96875	516697.78125	399784.125	581440.6875	506269.34375	200435.015625	181718.28125	152105.515625	126337.25	249932.71875	200107.96875	516697.78125	399784.125	581440.6875	506269.34375	200435.015625	93439.3828125	82820.34375	72464.609375	143989.421875	105619.0546875	309996.5	239959.25	275987.9375	303236.3125	86679.4765625
A0A024RCL9;F2Z2M1;O00453	LST1	Leukocyte specific transcript 1, isoform CRA_c;Leukocyte-specific transcript 1 protein (Fragment);Leukocyte-specific transcript 1 protein	A0A024RCL9;F2Z2M1;O00453	A0A024RCL9_HUMAN;F2Z2M1_HUMAN;LST1_HUMAN	331831.5	592518.875	577912.5	359760	266327.53125	162700.703125	465577.03125	135191.453125	108918.4296875	211766.734375	331831.5	592518.875	577912.5	359760	266327.53125	162700.703125	465577.03125	135191.453125	108918.4296875	211766.734375	139411.109375	247551.578125	228363.03125	158355.578125	88234.7421875	65826.1953125	157320.9375	62967.42578125	55878	86053.3125
A0A075B6H9	IGLV4-69	Immunoglobulin lambda variable 4-69	A0A075B6H9	LV469_HUMAN	1157531.875	582043.8125	462703.90625	869685.4375	340822.5	506786.90625	253041.921875	329374.09375	1078928.375	5942615.5	1157531.875	582043.8125	462703.90625	869685.4375	340822.5	506786.90625	253041.921875	329374.09375	1078928.375	5942615.5	337849.40625	218881.265625	151277.046875	302390.09375	117122.171875	165084.21875	89040.6953125	120809.2734375	360214.78125	1983690.125
A0A075B6I0	IGLV8-61	Immunoglobulin lambda variable 8-61	A0A075B6I0	LV861_HUMAN	285438.9375	37333.41796875	598426.3125	909906.8125	354825.0625	823671.375	51432.4765625	264515.59375	437701.3125	3393289.25	285438.9375	37333.41796875	598426.3125	909906.8125	354825.0625	823671.375	51432.4765625	264515.59375	437701.3125	3393289.25	178321.546875	80493.6953125	297463.09375	676282.9375	165849.765625	501467.90625	174151.546875	216881.96875	244750.640625	1766662
A0A075B6I1	IGLV4-60	Immunoglobulin lambda variable 4-60	A0A075B6I1	LV460_HUMAN	84481.34375	44883.20703125	49551.828125	93335.921875	32581.791015625	143990.6875	26313.099609375	122636.90625	32619.876953125	1044715.75	84481.34375	44883.20703125	49551.828125	93335.921875	32581.791015625	143990.6875	26313.099609375	122636.90625	32619.876953125	1044715.75	26488.185546875	10515.45703125	13131.28125	26239.849609375	8122.40771484375	42388.34765625	8977.681640625	32016.41796875	11128.0068359375	275754.90625
A0A075B6J9	IGLV2-18	Immunoglobulin lambda variable 2-18	A0A075B6J9	LV218_HUMAN	32162.3203125	40028.9609375	196185.359375	134707.734375	58055.56640625	27135.34375	5394.662109375	26670.353515625	85060.3359375	1061720	32162.3203125	40028.9609375	196185.359375	134707.734375	58055.56640625	27135.34375	5394.662109375	26670.353515625	85060.3359375	1061720	13570.9619140625	16424.427734375	50516.046875	43830.43359375	21503.279296875	8148.087890625	2088.7431640625	6835.3173828125	31277.853515625	370883.375
