,Minus1_LFQ,Minus2_LFQ,Minus3_LFQ,Plus1_LFQ,Plus2_LFQ,Plus3_LFQ,Minus1,Minus2,Minus3,Plus1,Plus2,Plus3
sp|P36578|RL4_HUMAN,156262548.7893651,170143623.65676966,194056230.920741,161353969.28952286,194136166.3554468,177482458.13801587,124169763.22555004,166789507.2042622,192774033.03520107,170471098.63342455,187253986.29334804,211976608.75807527
sp|Q9P258|RCC2_HUMAN,26864709.189697634,23072940.193725377,28692929.243865535,28625065.106204435,32719366.787958894,25766608.915981185,29312183.891009625,24930140.132501792,17514912.333363734,44512777.827778004,22372929.420853037,27098675.831926875
sp|P55036|PSMD4_HUMAN,41989510.85311487,42073463.405478574,40663874.13812659,41485788.2143432,44358888.83802283,43132923.29223713,42215619.323049106,40253090.33785762,41138555.60261927,42531880.73880122,42816771.251278326,44748531.487717666
sp|Q9Y490|TLN1_HUMAN,234850343.9704222,239246284.3667106,239005560.1097918,236470548.68420503,235659404.15869936,241154795.02822608,288953331.19730616,240803880.30564857,242772799.438963,262866593.9346233,179188711.74476278,211801619.6967515
sp|O94826|TOM70_HUMAN,18731244.41943163,18231338.127832033,16986822.45446994,12538359.783381842,18395132.93568452,20980957.134719625,17764157.7700387,21410913.056395918,23427924.352737203,3989680.4630919807,22343427.064188406,16927752.149067406
sp|P35221|CTNA1_HUMAN,42813179.85188951,50129782.51002419,55454452.887527436,48690852.30091079,49393757.35464732,49006927.49195184,46051794.11184639,49450690.93264648,54544709.75048861,57148315.60368428,46117071.771287724,42176370.2269976
sp|Q9GZT9|EGLN1_HUMAN,16256527.318216717,14394437.093134534,17467166.45978731,14933186.122924535,14316340.755626751,15090934.842167906,18826673.692661017,11668539.697145736,15853648.58595907,15663359.635143775,14694756.48417527,15751614.496772904
sp|Q14498|RBM39_HUMAN,8373574.170490371,8752224.113693075,8543002.620224077,9091736.544195417,8700560.221461354,10400332.340796545,4540769.854269466,11091964.64883871,3310305.8518140633,7917804.928948748,10817829.295763668,16182755.431226183
sp|Q9NX63|MIC19_HUMAN,41269311.12406705,55637373.37707051,51705846.32483282,51730033.583089605,50561382.82919085,54960325.43061243,56287285.44571079,54164484.99044907,49219492.45433666,48245529.42333897,47248368.07717104,50699112.27785673
sp|P26641|EF1G_HUMAN,317023890.99220604,263905891.40605518,275956510.9721617,293292069.6686467,279408980.6975777,240155004.1892794,357048484.9694477,477809450.4962631,285363100.11489373,175659803.76356182,185864684.6634549,187996823.9183054
sp|P20810|ICAL_HUMAN,57359060.14816403,57113076.571287274,55372518.52844682,54279223.17043981,60962837.10079357,57603946.95686748,58036045.34372852,78852088.57022154,61175570.865373164,37664127.518282816,46342445.588599205,60620384.58979372
sp|O14981|BTAF1_HUMAN,1938441.3833680705,1530068.9725845729,1379793.7586001344,1511679.5599513745,1783079.67824889,1249175.1336513564,2833392.4368287176,936448.1622177017,1595676.0868922677,1741206.311994605,853940.079069752,1431575.409401354
sp|P53618|COPB_HUMAN,57524321.81690452,46567776.08713461,46782777.50680676,63285184.41566022,60055442.30185803,57670215.676371716,59843400.77915327,48129061.681552224,38888615.686436206,61345261.741617315,52349805.10793808,71329572.80803883
sp|Q99733|NP1L4_HUMAN,41294061.94637185,45975363.04848994,39917859.468523696,37699157.98996097,43064504.7241457,45875162.134042725,36901573.85103403,47400120.291664585,44166519.531560846,31745057.662129045,48659602.972396985,44953235.00274941
sp|P19404|NDUV2_HUMAN,10757001.13418294,10575200.410256086,11345417.352629663,13402819.008468287,9044162.628557593,13025764.137204172,7766731.879991539,15716891.00768484,17153796.383160207,8812614.64176664,439281.1326092565,18261049.626086254
sp|Q9H7E9|CH033_HUMAN,2928518.51520137,2653208.3493861007,2938968.307198074,2905147.526534374,2524345.317260456,2900619.516583604,2127915.917404035,3213375.712071186,3440028.405940514,3777204.006401088,2184639.657002844,2107643.8333443124
sp|P06753|TPM3_HUMAN,59577431.37836564,73254122.55446328,70948263.80326052,58062610.85913178,68499234.9668175,59432087.90602378,65653329.66743651,72019534.40948193,72460586.87483555,60289289.01542944,62739369.19183898,56611642.30904014
sp|Q13586|STIM1_HUMAN,11547781.680675136,11118870.712533785,12821303.740707148,10724584.411098558,10724584.411098558,11317391.648512423,12593470.697468363,9594237.657243533,11056762.695282385,11279782.493326468,10615441.208276019,13114821.853028838
sp|P49916|DNLI3_HUMAN,6587606.54706939,6186619.0989477215,5195500.056010966,4971127.8815228455,6558627.962331827,6633511.059635274,5876405.898868855,8021418.141567259,6815566.968399762,3350142.43865576,5869960.0231435895,6199499.134882795
sp|Q9Y277|VDAC3_HUMAN,63876841.46379846,60456998.65751096,61285805.50828188,50731560.57430206,53553889.24425467,52093918.694812134,57811448.576891154,48576841.53392145,48250147.32408265,72044746.49495886,68295444.8703649,47020385.34274122
sp|Q86VP6|CAND1_HUMAN,150325684.71380508,148974963.73816487,144715157.6737495,147306698.9032087,153188173.490418,144086041.15915024,163716621.27228585,158193388.0389768,138384742.67510465,130699768.63752316,147087857.6452724,150514341.40933368
sp|Q12888|TP53B_HUMAN,29281058.41364322,26823445.995286476,30131061.72769494,23651977.715745136,26434840.43146273,28650338.05549188,27081386.084967036,22789432.711590476,29836854.60387078,25075158.975135475,27486972.984322574,32702916.979438033
sp|Q15293|RCN1_HUMAN,93568588.59982736,100221771.59553614,111241891.41282196,97187136.07526547,100750801.34832217,103377810.85962807,112352988.74141708,114333933.16400757,118098127.36149554,111303133.61804974,56326790.00679612,93933026.99963512
sp|P12270|TPR_HUMAN,77706565.90194389,82694986.3398725,85849032.93601367,81682142.17861019,76825173.63596012,76739810.71207872,68826278.83017772,93740033.3252561,86703459.39673808,69827878.38793588,73696269.95555234,88703791.80881894
sp|P80723|BASP1_HUMAN,167339296.7963461,140323970.92294988,134195018.038163,140795806.03324506,139454264.79188764,146629354.01072496,97792515.6008098,197134341.46191052,84789848.23075151,148558358.51318076,178995655.72614312,161466991.06052092
sp|P46821|MAP1B_HUMAN,211398308.75772452,200140597.15264407,187421421.90688348,196024143.2006258,183514274.7850961,201145725.5000844,219411397.00780642,230585860.43681946,184705141.02227134,184738799.76797912,151401031.80437118,208802241.26381087
sp|Q2NKX8|ERC6L_HUMAN,5397644.631700261,4267221.826417384,4889750.01937544,4877328.009982825,5232200.69625289,5226799.79669766,4800840.746507963,2083094.6607392263,4596374.96653541,3645224.4955433244,10523182.453091254,4242227.658009287
sp|P20962|PTMS_HUMAN,65462669.14807256,65155583.83048158,29911408.6177428,105355481.7487732,41404781.402058944,63490234.61701826,95987110.73147888,16060957.534430433,17042424.005533528,101452508.83256719,15064251.842702897,125172906.41743438
sp|Q52LJ0|FA98B_HUMAN,8112692.714923273,7894186.146004388,8037354.219661725,8016271.275135154,6897641.180044501,7615629.559240884,8671988.416830368,9385748.440036224,9551933.931628095,8883559.594456974,4500191.277826237,5580353.434232025
sp|Q9NW13|RBM28_HUMAN,12340886.209842144,16328586.843911843,13787419.895895451,13347088.25220528,13437874.109078944,13446305.66443139,8936074.615809677,17387707.8485253,16640851.520557728,14138080.551752493,8329913.601633168,17255532.837086674
sp|Q9BZL4|PP12C_HUMAN,2390799.355793967,2174200.7781574763,2379058.04467352,2494177.1496329824,2472929.3268535845,2364536.456124865,3197972.8789001834,1990303.2096086137,3408210.193861039,1605892.8772486472,1884919.8484385675,2188402.1031793435
sp|P35232|PHB1_HUMAN,153192352.13212597,114550713.03559525,147429572.40711623,193452082.36394247,160775625.51701146,146980311.45696798,202240831.2366553,61500190.115519635,197688400.75274637,200940447.65489614,169785966.64137027,84224820.51157162
sp|Q00610|CLH1_HUMAN,578782594.8594656,597885567.4047328,591405831.5872765,661524030.4648701,691890416.3065475,656848865.9896468,486073456.27315664,651000390.2095131,678111006.8959494,641520493.3900965,577198121.441247,744433838.4025767
sp|P49327|FAS_HUMAN,515508278.50672513,528615889.914983,522935893.20673335,544747325.1520536,538408693.4337517,529818260.36355656,569368555.513253,506200667.09921825,567563890.183294,553457631.0041701,484271371.93690777,499172224.8409602
sp|Q9NS91|RAD18_HUMAN,1082714.9344187437,,621991.1914514235,968670.5179199443,764293.5802311236,798285.9679590161,972830.1866502297,429907.5247694017,558864.0947867183,870360.1379570871,686725.9214215137,717268.3263953
sp|Q96RU3|FNBP1_HUMAN,3551385.8134395475,3182405.3955964777,3429379.30165473,2979151.7487444472,2654700.641695331,2941049.8156293635,3102328.866942908,6843120.629199199,3015355.7753132335,2678097.462330034,1470288.39223398,1628881.5907405415
sp|Q10471|GALT2_HUMAN,41116781.35591711,39850072.415977,43165243.34444325,38721708.86188137,33871125.7415538,35318052.20716884,34104767.125562206,45430612.399269655,40261920.35831965,54515239.29162665,43261798.99921985,14468645.752943374
sp|Q08211|DHX9_HUMAN,170241584.15900743,154452621.27212942,168674506.53314283,184969599.93309113,184969599.93309113,177033787.4069681,165777192.10698298,145577690.94779474,180369543.05947646,174714504.31223837,134432496.01930287,239470272.79163444
sp|P33176|KINH_HUMAN,80352448.77416335,75072617.38458385,78560739.75385922,77825358.51103531,72381633.23157129,76004124.78670174,93636877.83975706,87649130.27432059,94500484.6286374,80704752.1616436,45615538.92110525,58090138.616450824
sp|P62258|1433E_HUMAN,428507032.2119469,393246069.2640482,411386094.0294497,386798069.39089227,403336379.73303926,406491003.9722165,472752167.6671627,345222627.5853652,246047353.90004805,316757230.01607245,475024310.65576357,573960958.7771808
sp|Q13439|GOGA4_HUMAN,13046571.148141487,15615966.674084699,16077188.865729518,14921881.96741667,14531727.86186998,13410367.12073859,10780050.308198133,21229646.860723004,18215472.419894084,13096124.577423278,13337085.221936842,10945324.249805601
sp|O00273|DFFA_HUMAN,9043078.555113588,10374416.213151334,10222445.501833064,10190158.782115271,10086350.164780833,8716375.65392101,7247144.707082616,8503873.137200115,8326064.074916483,14533994.977752456,10795044.232600778,9226703.741362652
