Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	XL_1 Spectral Count	XL_2 Spectral Count	XL_3 Spectral Count	nonXL_1 Spectral Count	nonXL_2 Spectral Count	nonXL_3 Spectral Count	XL_1 Unique Spectral Count	XL_2 Unique Spectral Count	XL_3 Unique Spectral Count	nonXL_1 Unique Spectral Count	nonXL_2 Unique Spectral Count	nonXL_3 Unique Spectral Count	XL_1 Total Spectral Count	XL_2 Total Spectral Count	XL_3 Total Spectral Count	nonXL_1 Total Spectral Count	nonXL_2 Total Spectral Count	nonXL_3 Total Spectral Count	XL_1 Intensity	XL_2 Intensity	XL_3 Intensity	nonXL_1 Intensity	nonXL_2 Intensity	nonXL_3 Intensity	XL_1 MaxLFQ Intensity	XL_2 MaxLFQ Intensity	XL_3 MaxLFQ Intensity	nonXL_1 MaxLFQ Intensity	nonXL_2 MaxLFQ Intensity	nonXL_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	0.9996	0.9982	2	4	0	4	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0.0	0.0	0.0	1.780296E7	1.7734228E7	2.0060068E7	0.0	0.0	0.0	1.0663169E7	1.0588163E7	1.1966371E7	sp|P0DPI2|GAL3A_HUMAN
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.9989	19	39	39	39	0	0	0	16	12	11	0	0	0	16	12	11	0	0	0	16	12	11	0.0	0.0	0.0	9.518836E7	8.7460896E7	8.109572E7	0.0	0.0	0.0	1.1832333E7	1.1626396E7	1.0371753E7	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	0.9995	0.9964	3	3	3	3	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0.0	0.0	0.0	1.1847864E7	1.5278156E7	1.0603518E7	0.0	0.0	0.0	6809928.0	6330769.5	9322151.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	6	15	15	15	0	0	0	6	5	4	0	0	0	6	5	4	0	0	0	6	5	4	817523.06	898638.6	1417596.1	4.1305232E7	3.8630508E7	3.6965076E7	0.0	0.0	859653.25	1.052877E7	1.0187961E7	8893692.0	
sp|A2A3N6|PIPSL_HUMAN	A2A3N6	PIPSL_HUMAN	PIPSL	862	Homo sapiens	5:Protein uncertain	Putative PIP5K1A and PSMD4-like protein	1.0	0.999	8	3	3	95	1	0	0	0	1	1	1	0	0	0	1	1	20	23	23	8	11	10	1.564012E7	0.0	0.0	0.0	2.225363E7	2.117388E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	0.7924	0.9934	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2165839.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	1:Experimental evidence at protein level	GTP-binding protein 10	0.983	0.996	2	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0.0	0.0	0.0	2132688.5	0.0	3164187.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens	1:Experimental evidence at protein level	POTE ankyrin domain family member F	0.998	0.9978	10	1	1	138	0	0	0	0	0	1	0	0	0	0	0	1	13	11	13	34	34	33	0.0	0.0	0.0	0.0	0.0	2.2018592E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5LHX3|PSB11_HUMAN	A5LHX3	PSB11_HUMAN	PSMB11	300	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit beta type-11	0.8444	0.9954	1	7	7	7	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1.7141368E7	1.9368732E7	1.7554748E7	3.8616236E7	4.0354152E7	4.1096688E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.9948	4	7	7	7	0	0	0	2	2	3	0	0	0	2	2	3	0	0	0	2	2	3	0.0	0.0	0.0	9429293.0	8484263.0	8439101.0	0.0	0.0	0.0	5537420.0	6368591.0	6325078.5	
