Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_222_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H144_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H225_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H240_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H322_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H446_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H457_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H466_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H467_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H471_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T83_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T349_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T350_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T406_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T410_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T413_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T441_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T463_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T488_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T506_01.mzML
A0A075B6H7	P01624;A0A075B6H7;A0A0C4DH55	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	2.13006e+08	1.05332e+08	7.06756e+07	6.90579e+07	1.51971e+08	6.75309e+07	1.64808e+08	1.2454e+08	1.26179e+09	1.53306e+08	1.10635e+08	1.42717e+07	1.0399e+08	1.63508e+07	1.45412e+08	1.80403e+07	3.65674e+07	1.24236e+08	1.46472e+08	1.83486e+08
A0A075B6H9	A0A075B6H9	LV469_HUMAN	IGLV4-69	Immunoglobulin lambda variable 4-69	9.6674e+06	4.14846e+07	3.00429e+06	2.88402e+06	4.96267e+06	2.18268e+06	2.5619e+06	1.06725e+07	8.28074e+06	7.12383e+06	3.92474e+06	2.45059e+06	2.88822e+07	345399	5.95406e+06	2.82431e+06	5.62676e+06	9.6204e+06	9.50745e+06	5.75864e+06
A0A075B6I0	A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	1.35753e+06	4.35644e+07	1.05438e+07	1.26731e+07	1.3404e+07	7.78987e+06	7.36487e+06	4.77994e+07	2.27311e+07	3.22069e+07	1.59121e+07	5.30403e+06	1.68363e+07	8.12346e+06	1.25462e+07	657897	1.58267e+07	8.03759e+07	9.17697e+06	8.13666e+06
A0A075B6I1	A0A075B6I1	LV460_HUMAN	IGLV4-60	Immunoglobulin lambda variable 4-60	1.1064e+06	1.25e+06	67051.5	122591	1.12925e+06	352957	180637	48144.2	1.74834e+06	4.87469e+06	866431	260792	453146	896236	924232	1.09266e+06	875496	393129	790727	2.83989e+06
A0A075B6I9	A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	6.38845e+07	2.5388e+07	4.87835e+07	3.93384e+07	4.51199e+07	1.69732e+07	4.34499e+07	9.19181e+07	3.49526e+07	6.53356e+07	5.15752e+07	3.50389e+07	3.52605e+07	1.90659e+07	5.07366e+07	2.39069e+07	1.27485e+07	1.92691e+08	5.22674e+07	2.96537e+08
A0A075B6J1	A0A075B6J1	LV537_HUMAN	IGLV5-37	Immunoglobulin lambda variable 5-37	700568	2.77702e+06	835825	733986			997284	925592		1.10242e+06	647923	439722	1.22021e+06		640448	384264		684843	776975	482917
A0A075B6J9	A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	7.74857e+06	2.06754e+06	2.89879e+06	2.40399e+06	3.51538e+06	4.71047e+06	2.16853e+06	8.25792e+06	5.35737e+06	3.22594e+06	5.02517e+06	1.62844e+06	2.46825e+06	2.53675e+07	1.95933e+06	1.881e+06	2.12905e+06	2.53167e+06	1.78076e+06	8.11806e+06
A0A075B6K0	A0A075B6K0	LV316_HUMAN	IGLV3-16	Immunoglobulin lambda variable 3-16															678800			1.13982e+06	891964	
A0A075B6K4	A0A075B6K0;A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	6.81661e+07	1.89874e+07	4.85519e+07	2.06276e+07	2.35966e+07	1.18566e+07	1.4127e+07	8.78505e+07	1.30607e+07	3.05509e+07	1.59583e+07	8.22648e+06	1.20167e+07	5.21404e+06	4.27423e+07	4.99843e+06	5.09263e+07	6.89665e+07	1.02011e+07	1.78529e+07
A0A075B6K5	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9	1.30932e+07	2.86579e+07	5.30503e+06	5.89133e+06	9.82477e+06	583298	3.58724e+06	7.72373e+06	4.78051e+06	1.06258e+07	6.40584e+06	3.48997e+06	1.16209e+07	2.72424e+06	9.80582e+06	3.65331e+06	6.24586e+06	4.90691e+06	3.26434e+06	1.80665e+07
A0A075B6K6	A0A075B6K6	LV403_HUMAN	IGLV4-3	Immunoglobulin lambda variable 4-3			57526.8		110673	140493		118167												
A0A075B6P5;P01615	P01615;A0A075B6P5	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28	4.12209e+07	1.62299e+07	2.39085e+07	1.3862e+07	2.51893e+07	1.25073e+07	2.59797e+07	3.22845e+07	2.36037e+07	3.38465e+07	2.79962e+07	7.07007e+06	1.81807e+07	4.37285e+06	4.15711e+07	1.84491e+07	2.09151e+07	1.35454e+08	4.92187e+07	4.01658e+07
A0A075B6R2	A0A075B6R2	HV404_HUMAN	IGHV4-4	Immunoglobulin heavy variable 4-4	5.9948e+07	8.21963e+06	1.8489e+07	1.4703e+07	1.71679e+07	1.75564e+06	6.70408e+06	1.51005e+07	2.49743e+07	4.08421e+07	9.04627e+06	1.18493e+07	2.06485e+07	1.10783e+08	6.72779e+06	7.63564e+06	2.04904e+07	3.38991e+07	7.35579e+06	4.82584e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	1.06964e+07	5.22795e+06	4.09814e+06	1.06651e+07	8.97054e+06	4.04529e+06	3.38132e+06	1.19335e+07	7.53687e+06	8.21419e+06	1.03399e+07	3.72622e+06	1.08527e+07	1.39198e+06	1.48532e+07	4.57072e+06	3.22344e+06	1.38222e+07	7.79389e+06	9.99954e+06
A0A075B6S2	A0A075B6S2;A2NJV5	KVD29_HUMAN	IGKV2D-29	Immunoglobulin kappa variable 2D-29	3.38067e+08	1.46114e+08	1.54405e+08	1.78131e+08	2.13523e+08	7.6329e+07	2.27745e+08	2.81407e+08	1.83153e+08	1.87121e+08	2.04313e+08	1.1279e+08	3.35881e+08	4.93708e+07	2.40414e+08	8.37501e+07	1.0306e+08	3.0684e+08	2.14005e+08	4.68181e+08
A0A075B6S5	A0A075B6S5	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27	2.55338e+06		1.14491e+06	756571	1.38222e+06	3.23393e+06	1.328e+06	1.87817e+06	1.15605e+06	1.36365e+06	768747		1.23073e+06	241883	1.51823e+06		943083	1.42707e+06	1.87638e+06	4.1787e+06
A0A075B6S6	A0A075B6S6	KVD30_HUMAN	IGKV2D-30	Immunoglobulin kappa variable 2D-30						340240		856613	681839		449856	8.66806e+06		1.07872e+06	744274	4.01568e+06	524826		614533	1.24679e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06	LV545_HUMAN	IGLV5-45	Immunoglobulin lambda variable 5-45	1.40895e+07	4.41082e+06	2.36932e+06	6.62296e+06	6.7678e+06	1.43638e+06	7.4088e+06	1.26322e+07	1.83243e+07	7.06806e+06	4.41278e+06	4.27179e+06	6.52398e+06	1.01729e+06	8.86136e+06	1.58181e+06	2.71438e+06	1.29982e+07	5.17781e+06	5.25677e+06
A0A087WSY4	A0A087WSY4	HV432_HUMAN	IGHV4-30-2	Immunoglobulin heavy variable 4-30-2	4.61956e+07	6.20436e+06	2.46244e+07	1.33414e+07	1.98682e+07	2.15564e+06	1.90308e+07	3.29633e+07	6.22572e+06	2.30972e+07	1.13491e+07	1.51076e+07	2.43982e+07	3.37617e+06	3.00412e+07	1.09106e+07	5.1988e+06	3.29478e+07	2.31579e+07	2.1072e+07
